Country,First_Year,Last_Year,First_CO2,Last_CO2,CO2_Change,CO2_Pct_Change,First_Per_Capita,Last_Per_Capita,Per_Capita_Change,Per_Capita_Pct_Change
Eswatini,1980,2023,0.678441294,1.326289194,0.6478478999999999,95.49063503790794,1.1370956449742224,1.077840493260496,-0.05925515171372653,-5.211096531380157
Cayman Islands,1980,2023,0.0978,0.737,0.6392,653.5787321063394,5.726330581415774,10.090637750212219,4.3643071687964445,76.2147261103011
Sierra Leone,1980,2023,0.711,1.342,0.6310000000000001,88.7482419127989,0.21729237804961907,0.15861924195604238,-0.05867313609357669,-27.001930127608333
Saint Lucia,1980,2023,0.11181,0.605,0.49318999999999996,441.0965029961542,0.9372956660239752,3.3745154363164795,2.4372197702925043,260.0267832914702
Belize,1980,2023,0.2255,0.662250031,0.436750031,193.68072328159644,1.554507727730212,1.6108984811703064,0.05639075344009448,3.6275634037813678
Suriname,1980,2023,2.08924,2.520575778,0.4313357779999998,20.64558298711492,5.565711271601617,4.008001097178185,-1.5577101744234323,-27.987620959992377
Cabo Verde,1980,2023,0.29932,0.714000007,0.414680007,138.5406945743686,0.9258245412170083,1.3669493233218017,0.44112478210479344,47.64669356516833
Comoros,1980,2023,0.04142,0.436,0.39458,952.6315789473686,0.12264561575975436,0.5127077436508319,0.3900621278910776,318.04000940005454
The,1980,2023,0.1523,0.537,0.38470000000000004,252.59356533158245,0.21333131628083535,0.1990477584887197,-0.014283557792115653,-6.695481020382575
Barbados,1980,2023,0.970850132,1.347940553,0.3770904209999999,38.8412596930048,3.859870755872203,4.7742425797631185,0.9143718238909155,23.689182403318522
Timor-Leste,2003,2023,0.3,0.66,0.36000000000000004,120.00000000000001,0.3271972934239888,0.47678008735189115,0.14958279392790236,45.716390977009084
Antigua and Barbuda,1988,2023,0.4,0.72461072,0.32461072,81.15268,6.28703456297251,7.765128380985041,1.478093818012531,23.510190745852817
Kosovo,2008,2023,7.133280638,7.443865976,0.3105853380000001,4.354032229511171,3.961045589380173,4.378664845523405,0.4176192561432317,10.543157020532577
Grenada,1980,2023,0.04574,0.348000151,0.302260151,660.8223677306514,0.4838266094057416,2.9723025170608377,2.488475907655096,514.332171748792
South Sudan,2012,2023,1.427734967,1.725,0.2972650330000002,20.82074333618252,0.13273550673841417,0.15021722717285954,0.017481720434445375,13.170342181988367
Guinea-Bissau,1980,2023,0.08321,0.366000955,0.282790955,339.85212714817925,0.10033727117832686,0.16996903645919198,0.06963176528086512,69.39770681735043
Croatia,1992,2023,16.191140057,16.467255407,0.2761153500000013,1.7053484129465422,3.542294303674231,4.268545711897982,0.7262514082237508,20.502288798264146
U.S. Virgin Islands,1980,2023,2.111970009,2.377589618,0.2656196089999998,12.57686462724764,21.870514865326665,27.742845684414416,5.87233081908775,26.85044616118158
Samoa,1980,2023,0.0929,0.335,0.24210000000000004,260.6027987082885,0.5653533915117879,1.5461800122771308,0.9808266207653429,173.489119458991
Saint Vincent/Grenadines,1980,2023,0.03793,0.268197697,0.23026769700000002,607.0859398892698,0.3639661078752171,2.646957719372699,2.282991611497482,627.2539014210048
Solomon Islands,1980,2023,0.09768,0.318,0.22032000000000002,225.55282555282554,0.41018749868771914,0.39749751564052727,-0.012689983047191877,-3.093703023078458
Saint Kitts and Nevis,1988,2023,0.0661,0.269,0.20290000000000002,306.9591527987897,1.6097608494471773,5.7530262201120665,4.143265370664889,257.38390718644735
Vanuatu,1980,2023,0.11663,0.292,0.17536999999999997,150.3644002400754,1.008386650527408,0.9113351996978861,-0.09705145082952182,-9.624428365722794
Central African Republic,1980,2023,0.13937,0.313,0.17363,124.58204778646768,0.056873295015170154,0.06074814150474117,0.003874846489571017,6.813121146818478
British Virgin Islands,1980,2023,0.02217,0.188,0.16583,747.9927830401444,1.9919137466307277,4.82236757727331,2.830453830642582,142.0972085478211
Tonga,1980,2023,0.02911,0.174,0.14489,497.73273789075915,0.29774263825957104,1.6635276346357926,1.3657849963762216,458.71327142118446
Dominica,1980,2023,0.02679,0.168,0.14121,527.0996640537514,0.366569516850704,2.525935949481281,2.159366432630577,589.0741955802182
Fiji,1980,2023,1.299351548,1.432012143,0.13266059499999994,10.209753873322045,2.023990884380233,1.5495535256913147,-0.47443735868891834,-23.440686534227943
Sao Tome and Principe,1980,2023,0.0321,0.146,0.1139,354.8286604361371,0.3257428153921091,0.6323877836540752,0.30664496826196613,94.13713941559874
Jamaica,1980,2023,7.7863,7.889915514,0.10361551400000035,1.330741353402776,3.62886350014774,2.7783486199312204,-0.8505148802165197,-23.437499927508796
Kiribati,1988,2023,0.02206,0.081,0.058940000000000006,267.18041704442436,0.30884679462948184,0.611182373802158,0.30233557917267617,97.89176524735603
Greenland,1992,2023,0.5,0.527012254,0.027012253999999958,5.402450799999992,8.968127275662296,9.424059475698293,0.4559322000359973,5.083917589721392
American Samoa,1980,2019,0.425070708,0.356,-0.06907070800000004,-16.249227881399918,13.020606138577469,6.4362163725773796,-6.584389766000089,-50.56899575889828
Bermuda,1988,2023,0.8,0.577092569,-0.222907431,-27.863428874999997,14.109596289176176,8.919789931682589,-5.1898063574935875,-36.78210383294112
Eritrea,1994,2023,1.0,0.733,-0.267,-26.700000000000003,0.5224892432527045,0.21121545417085688,-0.31127378908184766,-59.575157403058455
Somalia,1980,2023,1.11837,0.838010419,-0.28035958100000014,-25.068589196777463,0.18839976186601629,0.04564669996982344,-0.14275306189619286,-75.77136004965556
North Macedonia,1992,2023,7.721927384,7.368808415,-0.3531189689999996,-4.572938224356651,3.799183273202812,4.022710104585539,0.22352683138272722,5.883549576545914
Djibouti,1980,2023,1.45833,0.684707836,-0.773622164,-53.048498213710204,4.475944938078357,0.5938777911156136,-3.882067146962744,-86.73178961467339
The Bahamas,1980,2023,3.99007,2.990226222,-0.9998437779999998,-25.058301683930353,17.159672466734904,7.4860460194271985,-9.673626447307704,-56.37419051010812
Liberia,1980,2023,1.88712,0.671004304,-1.216115696,-64.44294459281869,0.9781609773316408,0.12215556475104546,-0.8560054125805953,-87.51171150946158
Guam,1980,2019,3.510529879,1.829,-1.681529879,-47.89960310718096,33.71198255116053,10.932848757277608,-22.779133793882924,-67.56984333185933
